Habitat,Station,Plot,Subplot,Month,Cover,Mussels,CrabBurrows,FiddlerPitfalls,OtherPitfalls,BlueCrabs,WaveEnergy,TSS,SOM
Bay,1,A,1,Spring,25,0,0,8,NA,0,NA,0.153,0.080
Bay,1,A,2,Spring,10,0,0,8,NA,0,NA,0.153,0.080
Bay,1,B,1,Spring,10,0,0,3,NA,0,NA,0.153,0.080
Bay,1,B,2,Spring,15,0,0,3,NA,0,NA,0.153,0.080
Bay,1,C,1,Spring,20,0,0,2,NA,0,NA,0.153,0.080
Bay,1,C,2,Spring,25,0,0,2,NA,0,NA,0.153,0.080
Bay,2,A,1,Spring,50,1,0,22,2,0,NA,0.260,0.087
Bay,2,A,2,Spring,70,0,2,22,2,0,NA,0.260,0.087
Bay,2,B,1,Spring,45,0,0,20,NA,0,NA,0.260,0.087
Bay,2,B,2,Spring,60,0,0,20,NA,0,NA,0.260,0.087
Bay,2,C,1,Spring,65,5,2,13,NA,0,NA,0.260,0.087
Bay,2,C,2,Spring,70,0,0,13,NA,0,NA,0.260,0.087
Bay,3,A,1,Spring,30,40,0,2,NA,2,NA,0.133,0.067
Bay,3,A,2,Spring,30,32,0,2,NA,2,NA,0.133,0.067
Bay,3,B,1,Spring,60,22,1,1,1,2,NA,0.133,0.067
Bay,3,B,2,Spring,45,72,2,1,1,2,NA,0.133,0.067
Bay,3,C,1,Spring,25,13,4,0,1,2,NA,0.133,0.067
Bay,3,C,2,Spring,20,55,0,0,1,2,NA,0.133,0.067
Creek,5,A,1,Spring,95,12,26,19,NA,2,NA,0.133,0.080
Creek,5,A,2,Spring,80,0,48,19,NA,2,NA,0.133,0.080
Creek,5,B,1,Spring,60,29,43,12,NA,2,NA,0.133,0.080
Creek,5,B,2,Spring,45,21,19,12,NA,2,NA,0.133,0.080
Creek,5,C,1,Spring,55,12,6,25,NA,2,NA,0.133,0.080
Creek,5,C,2,Spring,40,1,12,25,NA,2,NA,0.133,0.080
Creek,6,A,1,Spring,85,30,11,12,NA,2,NA,0.153,0.073
Creek,6,A,2,Spring,90,45,18,12,NA,2,NA,0.153,0.073
Creek,6,B,1,Spring,45,79,0,NA,NA,2,NA,0.153,0.073
Creek,6,B,2,Spring,75,96,1,NA,NA,2,NA,0.153,0.073
Creek,6,C,1,Spring,50,84,5,NA,NA,2,NA,0.153,0.073
Creek,6,C,2,Spring,60,91,0,NA,NA,2,NA,0.153,0.073
Creek,7,A,1,Spring,85,156,4,57,NA,3,NA,0.147,0.080
Creek,7,A,2,Spring,55,144,5,57,NA,3,NA,0.147,0.080
Creek,7,B,1,Spring,85,108,7,37,1,3,NA,0.147,0.080
Creek,7,B,2,Spring,35,140,0,37,1,3,NA,0.147,0.080
Creek,7,C,1,Spring,95,14,9,53,NA,3,NA,0.147,0.080
Creek,7,C,2,Spring,65,16,13,53,NA,3,NA,0.147,0.080
Bay,1,A,1,Summer,45,0,0,0,NA,3,0.32,0.120,0.047
Bay,1,A,2,Summer,10,0,0,0,NA,3,0.32,0.120,0.047
Bay,1,B,1,Summer,35,0,0,0,NA,3,0.32,0.120,0.047
Bay,1,B,2,Summer,25,0,0,0,NA,3,0.32,0.120,0.047
Bay,1,C,1,Summer,45,0,0,16,NA,3,0.32,0.120,0.047
Bay,1,C,2,Summer,50,0,0,16,NA,3,0.32,0.120,0.047
Bay,2,A,1,Summer,85,0,0,12,NA,0,0.33,0.140,0.053
Bay,2,A,2,Summer,75,0,0,12,NA,0,0.33,0.140,0.053
Bay,2,B,1,Summer,60,0,0,3,NA,0,0.33,0.140,0.053
Bay,2,B,2,Summer,85,0,0,3,NA,0,0.33,0.140,0.053
Bay,2,C,1,Summer,80,1,0,7,NA,0,0.33,0.140,0.053
Bay,2,C,2,Summer,90,0,0,7,NA,0,0.33,0.140,0.053
Bay,3,A,1,Summer,30,53,0,1,NA,1,NA,0.147,0.047
Bay,3,A,2,Summer,25,20,0,1,NA,1,NA,0.147,0.047
Bay,3,B,1,Summer,60,0,0,1,NA,1,NA,0.147,0.047
Bay,3,B,2,Summer,45,180,0,1,NA,1,NA,0.147,0.047
Bay,3,C,1,Summer,35,100,0,0,NA,1,0.32,0.147,0.047
Bay,3,C,2,Summer,35,80,0,0,NA,1,0.32,0.147,0.047
Creek,5,A,1,Summer,65,0,20,0,NA,4,0.3,0.153,0.060
Creek,5,A,2,Summer,75,8,10,0,NA,4,0.3,0.153,0.060
Creek,5,B,1,Summer,75,7,4,16,NA,4,0.3,0.153,0.060
Creek,5,B,2,Summer,60,40,0,16,NA,4,0.3,0.153,0.060
Creek,5,C,1,Summer,95,0,5,15,NA,4,0.3,0.153,0.060
Creek,5,C,2,Summer,100,3,2,15,NA,4,0.3,0.153,0.060
Creek,6,A,1,Summer,70,80,4,25,NA,0,0.28,0.180,0.067
Creek,6,A,2,Summer,80,29,2,25,NA,0,0.28,0.180,0.067
Creek,6,B,1,Summer,40,80,14,1,NA,0,0.28,0.180,0.067
Creek,6,B,2,Summer,55,80,8,1,NA,0,0.28,0.180,0.067
Creek,6,C,1,Summer,55,180,6,1,NA,0,0.28,0.180,0.067
Creek,6,C,2,Summer,40,150,20,1,NA,0,0.28,0.180,0.067
Creek,7,A,1,Summer,75,174,4,1,NA,1,0.32,0.100,0.053
Creek,7,A,2,Summer,65,54,1,1,NA,1,0.32,0.100,0.053
Creek,7,B,1,Summer,85,110,0,1,NA,1,0.32,0.100,0.053
Creek,7,B,2,Summer,45,100,0,1,NA,1,0.32,0.100,0.053
Creek,7,C,1,Summer,65,50,0,12,NA,1,0.32,0.100,0.053
Creek,7,C,2,Summer,45,30,4,12,NA,1,0.32,0.100,0.053
Bay,1,A,1,Fall,3,0,0,0,NA,NA,NA,NA,NA
Bay,1,A,2,Fall,2,0,0,0,NA,NA,NA,NA,NA
Bay,1,B,1,Fall,1,2,0,1,NA,NA,NA,NA,NA
Bay,1,B,2,Fall,1,0,0,1,NA,NA,NA,NA,NA
Bay,1,C,1,Fall,5,0,0,2,NA,NA,NA,NA,NA
Bay,1,C,2,Fall,1,0,0,2,NA,NA,NA,NA,NA
Bay,2,A,1,Fall,10,0,0,1,NA,NA,NA,NA,NA
Bay,2,A,2,Fall,10,0,0,1,NA,NA,NA,NA,NA
Bay,2,B,1,Fall,0,0,0,4,NA,NA,NA,NA,NA
Bay,2,B,2,Fall,4,0,0,4,NA,NA,NA,NA,NA
Bay,2,C,1,Fall,5,0,0,10,NA,NA,NA,NA,NA
Bay,2,C,2,Fall,15,0,0,10,NA,NA,NA,NA,NA
Bay,3,A,1,Fall,15,47,0,0,NA,NA,NA,NA,NA
Bay,3,A,2,Fall,10,41,0,0,NA,NA,NA,NA,NA
Bay,3,B,1,Fall,25,74,0,1,NA,NA,NA,NA,NA
Bay,3,B,2,Fall,25,90,0,1,NA,NA,NA,NA,NA
Bay,3,C,1,Fall,25,188,1,4,NA,NA,NA,NA,NA
Bay,3,C,2,Fall,25,93,0,4,NA,NA,NA,NA,NA
Creek,5,A,1,Fall,20,15,8,0,NA,NA,NA,NA,NA
Creek,5,A,2,Fall,15,2,3,0,NA,NA,NA,NA,NA
Creek,5,B,1,Fall,6,30,6,7,NA,NA,NA,NA,NA
Creek,5,B,2,Fall,67,40,19,7,NA,NA,NA,NA,NA
Creek,5,C,1,Fall,30,7,7,2,NA,NA,NA,NA,NA
Creek,5,C,2,Fall,20,27,10,2,NA,NA,NA,NA,NA
Creek,6,A,1,Fall,65,92,0,25,NA,NA,NA,NA,NA
Creek,6,A,2,Fall,55,142,0,25,NA,NA,NA,NA,NA
Creek,6,B,1,Fall,45,82,NA,0,NA,NA,NA,NA,NA
Creek,6,B,2,Fall,45,78,NA,0,NA,NA,NA,NA,NA
Creek,6,C,1,Fall,40,112,NA,1,NA,NA,NA,NA,NA
Creek,6,C,2,Fall,50,98,NA,1,NA,NA,NA,NA,NA
Creek,7,A,1,Fall,75,82,NA,3,NA,NA,NA,NA,NA
Creek,7,A,2,Fall,45,51,NA,3,NA,NA,NA,NA,NA
Creek,7,B,1,Fall,30,74,NA,21,NA,NA,NA,NA,NA
Creek,7,B,2,Fall,45,87,NA,21,NA,NA,NA,NA,NA
Creek,7,C,1,Fall,50,93,NA,16,NA,NA,NA,NA,NA
Creek,7,C,2,Fall,30,29,NA,16,NA,NA,NA,NA,NA
