Habitat,Station,Plot,Depth,WetWt_Bag,DryWt_Bag,BagWt,WetWt,DryWt,WaterContent,BulkDensity,TinWt,DryMass_Tin,AshMass_Tin,DryMass,AshMass,OM,PerOM
Bay,1,1A,1,7.8222,5.04992,1.81,6.0122,3.23992,2.77228,0.065986151,1.78,3.54,3.3907,1.76,1.6107,0.1493,8.482954545
Bay,1,1A,2,14.33705,8.30348,1.81,12.52705,6.49348,6.03357,0.132250102,1.78,3.78,3.5338,2,1.7538,0.2462,12.31
Bay,1,1A,3,16.38536,8.46551,1.81,14.57536,6.65551,7.91985,0.135550102,1.78,3.81,3.53801,2.03,1.75801,0.27199,13.39852217
Bay,1,1A,4,14.94368,7.43003,1.81,13.13368,5.62003,7.51365,0.114460896,1.78,3.72,3.48225,1.94,1.70225,0.23775,12.25515464
Bay,1,1B,1,14.93671,6.66116,1.81,13.12671,4.85116,8.27555,0.098801629,1.78,3.67386,3.52426,1.89386,1.74426,0.1496,7.899211135
Bay,1,1B,2,19.84815,10.50083,1.81,18.03815,8.69083,9.34732,0.177002648,1.78,3.74,3.65219,1.96,1.87219,0.08781,4.480102041
Bay,1,1B,3,17.60633,10.89337,1.81,15.79633,9.08337,6.71296,0.184997352,1.78,3.82,3.72791,2.04,1.94791,0.09209,4.514215686
Bay,1,1B,4,24.71348,11.59956,1.81,22.90348,9.78956,13.11392,0.199380041,1.78,3.91553,3.67778,2.13553,1.89778,0.23775,11.13306767
Bay,1,1C,1,29.1974,16.3932,1.81,27.3874,14.5832,12.8042,0.297010183,1.78,3.75,3.78319,1.97,2.00319,-0.03319,-1.684771574
Bay,1,1C,2,29.06558,16.35565,1.81,27.25558,14.54565,12.70993,0.296245418,1.78,3.83,3.7543,2.05,1.9743,0.0757,3.692682927
Bay,1,1C,3,17.73324,10.22073,1.81,15.92324,8.41073,7.51251,0.171297963,1.78,3.73,3.61854,1.95,1.83854,0.11146,5.715897436
Bay,1,1C,4,22.22845,13.26813,1.81,20.41845,11.45813,8.96032,0.233363136,1.78,3.76,3.58929,1.98,1.80929,0.17071,8.621717172
Bay,2,2A,1,20.52533,14.0356,1.81,18.71533,12.2256,6.48973,0.24899389,1.78,3.82,3.77672,2.04,1.99672,0.04328,2.121568627
Bay,2,2A,2,23.99444,15.8877,1.81,22.18444,14.0777,8.10674,0.286714868,1.78,3.81,3.7558,2.03,1.9758,0.0542,2.669950739
Bay,2,2A,3,45.45028,28.8356,1.81,43.64028,27.0256,16.61468,0.550419552,1.78,3.77,3.59197,1.99,1.81197,0.17803,8.946231156
Bay,2,2A,4,25.77782,10.86133,1.81,23.96782,9.05133,14.91649,0.184344807,1.78,3.75,3.45887,1.97,1.67887,0.29113,14.77817259
Bay,2,2B,1,17.77514,9.1095,1.81,15.96514,7.2995,8.66564,0.148665988,1.78,3.75,3.63394,1.97,1.85394,0.11606,5.891370558
Bay,2,2B,2,19.5119,11.58417,1.81,17.7019,9.77417,7.92773,0.199066599,1.78,3.83,3.66984,2.05,1.88984,0.16016,7.812682927
